Collection, Prefab, Tier, QuestTags, Tags, ThemeTags, DuplicateRepeatDistance, ThemeRepeatDistance, X, Y, Z, YOffset, MinSleepers, MaxSleepers, AvgSleepers 
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bridge_pillar,1,,,,,,,,,0,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bridge_wood1,0,,navonly,,,,39, 11, 9,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bridge_wood2,0,,navonly,hideui,,,,32, 10, 7,,3,3,3.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,business_burnt_01,2,clear/fetch/infested,countrytown,diagonal,,,,42, 25, 42,-1,9,10,9.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,business_burnt_02,2,clear/fetch/infested,downtown,,,,42, 30, 42,-2,13,17,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bus_stop_01,0,,hideui,,,,29, 5, 9,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,bus_wreck_01,0,,navonly,hideui,,,,27, 7, 7,-4,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_01,1,clear/infested,wilderness,,,,42, 16, 42,-1,6,6,6.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_02,1,clear/infested,wilderness,,,,42, 17, 42,-4,6,8,7.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_03,2,clear/fetch/infested,wilderness,,,,60, 18, 60,-2,18,19,18.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_04,1,clear/fetch/infested,wilderness,,,,42, 17, 42,-2,5,6,5.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_05,1,clear/fetch/infested,wilderness,,,,42, 22, 42,-4,7,7,7.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_06,1,clear/fetch/infested,wilderness,,,,39, 20, 32,-6,6,7,6.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_07,1,clear/fetch/restore_power/infested,wilderness,,,,42, 19, 42,-1,9,9,9.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_08,1,clear/fetch/infested,wilderness,,,,42, 20, 42,-1,7,7,7.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_09,1,clear/fetch/infested,wilderness,,,,60, 16, 60,-2,8,8,8.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_10,1,clear/fetch/infested,wilderness,,,,30, 13, 52,-6,5,5,5.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_11,1,clear/fetch/infested,wilderness,,,,42, 26, 42,-12,7,8,7.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_12,1,clear/fetch/infested,wilderness,,,,42, 25, 42,-3,8,10,9.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_13,2,clear/fetch/restore_power/infested,wilderness,,,,60, 17, 60,-3,16,16,16.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_14,1,clear/fetch/infested,wilderness,,,,42, 20, 42,-3,8,8,8.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_15,1,clear/fetch/infested,wilderness,,,,40, 19, 48,-3,7,9,8.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_16,1,clear/fetch/infested,wilderness,,,,42, 19, 42,-2,7,7,7.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_17,2,clear/fetch/infested,wilderness,,,,60, 19, 60,-8,15,15,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_18,2,clear/fetch/restore_power/infested,wilderness,,,,60, 24, 60,-5,19,20,19.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cabin_20,3,clear/fetch/infested,wilderness,,,,60, 23, 60,-4,24,25,24.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,canyon_car_wreck,0,,navonly,,,,8, 3, 10,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,canyon_cliff_dwellings,0,,navonly,,,,48, 34, 77,,11,13,12.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,canyon_gift_shop,0,,navonly,,,,22, 19, 24,,4,5,4.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,canyon_gift_shop_sign,0,,navonly,,,,3, 12, 14,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,canyon_mine,0,,navonly,,,,64, 69, 44,-55,22,26,24.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,carlot_01,2,clear/fetch/infested,commercial,,,,42, 18, 42,-7,14,14,14.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,carlot_02,3,clear/fetch/infested,commercial,,,,42, 22, 42,-7,15,15,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cave_01,1,clear/fetch/infested,wilderness,,,,33, 22, 54,-16,6,6,6.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cave_02,1,clear/infested,wilderness,,,,33, 20, 54,-14,5,6,5.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cave_03,1,clear/infested,wilderness,,,,44, 37, 54,-32,8,9,8.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cave_04,1,clear/infested,,,,,33, 14, 54,-11,5,6,5.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cave_05,1,clear/infested,,,,,26, 19, 61,-1,4,5,4.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cave_07,0,,wilderness,,,,60, 45, 60,-33,9,13,11.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cemetery_01,1,clear/fetch/infested,countryresidential,,,,42, 16, 42,-3,7,7,7.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cemetery_02,2,clear/fetch/infested,countryresidential,,,,42, 32, 42,-12,16,16,16.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,church_01,4,clear/fetch/infested,downtown,tdowntowntile,,,,60, 68, 60,-23,37,43,40.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,church_02,1,clear/fetch/infested,countrytown,nodiagonal,,,,42, 30, 42,-2,9,9,9.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,church_sm_01,1,clear/fetch,,,,,42, 31, 42,-1,14,15,14.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,city_center_01,4,clear/fetch/restore_power/infested,downtown,,,,60, 48, 60,-1,40,40,40.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,commercial_site_01,0,,,,,,42, 12, 42,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,commercial_site_02,0,,,,,,42, 22, 42,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,commercial_strip_01,2,clear/fetch/infested,countrytown,,,,42, 20, 42,-1,16,16,16.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,commercial_strip_02,2,clear/fetch/infested,commercial,,,,42, 16, 42,-2,14,14,14.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,commercial_strip_03,3,clear/fetch/infested,commercial,,,,60, 21, 60,-1,22,22,22.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,commercial_strip_04,2,clear/fetch/infested,commercial,,,,42, 15, 42,-2,15,16,15.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,commercial_strip_05,3,clear/fetch/infested,countrytown,nodiagonal,,,,60, 15, 60,-3,21,23,22.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,commercial_strip_06,0,,,,,,42, 14, 42,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,commercial_strip_07,0,,,,,,42, 12, 42,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,commercial_strip_08,0,,,,,,42, 28, 42,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,commercial_strip_09,0,,,,,,42, 13, 42,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,commercial_strip_10,0,,,,,,42, 17, 42,-7,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cornfield_lg,0,,hideui,,,,48, 2, 48,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cornfield_med,0,,hideui,,,,24, 2, 24,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,cornfield_sm,0,,hideui,,,,12, 2, 12,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,countrytown_business_01,2,clear/fetch/infested,countrytown,rural,nodiagonal,,,,42, 10, 42,-1,8,8,8.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,countrytown_business_02,2,clear/fetch/restore_power/infested,countrytown,nodiagonal,,,,42, 22, 42,-2,16,16,16.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,countrytown_business_03,3,clear/fetch/infested,countrytown,nodiagonal,,,,42, 21, 42,-3,14,14,14.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,countrytown_business_04,2,clear/fetch/restore_power/infested,countrytown,diagonal,,,,42, 26, 42,-2,19,19,19.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,countrytown_business_05,4,clear/fetch/restore_power/infested,countrytown,diagonal,,,,42, 26, 42,-6,20,20,20.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,countrytown_business_06,2,clear/fetch/infested,diagonal,,,,42, 18, 42,-4,18,20,19.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,countrytown_business_07,2,clear/fetch/restore_power/infested,countrytown,nodiagonal,,,,42, 14, 42,-5,19,19,19.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,countrytown_business_08,3,clear/fetch/infested,countrytown,rural,nodiagonal,,,,42, 11, 42,-2,19,19,19.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,countrytown_business_09,3,clear/fetch/infested,countrytown,diagonal,,,,42, 22, 42,-2,20,20,20.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,countrytown_business_10,1,clear/fetch/infested,countrytown,nodiagonal,,,,42, 15, 42,-2,9,9,9.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,countrytown_business_11,3,clear/fetch/infested,countrytown,nodiagonal,,,,42, 15, 42,-3,20,20,20.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,countrytown_business_12,3,clear/fetch/restore_power/infested,countrytown,nodiagonal,,,,42, 15, 42,-6,24,24,24.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,countrytown_business_13,1,clear/infested,countrytown,diagonal,,,,42, 19, 42,-7,16,16,16.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,countrytown_business_14,2,clear/fetch/infested,countrytown,diagonal,,,,42, 11, 42,-1,14,16,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,country_junkyard_01,0,,countrytown,countryresidential,diagonal,,,,42, 21, 42,-1,3,3,3.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,country_junkyard_02,3,clear/fetch/infested,industrial,countrytown,nodiagonal,,,,60, 17, 60,-2,24,24,24.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,courthouse_med_01,4,clear/fetch/infested,downtown,tdowntowntile,,,,60, 61, 60,-10,30,32,31.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,culvert_01,0,clear,navonly,hideui,,,,21, 15, 45,,3,3,3.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_coal_vein,0,,biomeonly,devonly,,,,2, 12, 2,-10,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_iron_vein,0,,biomeonly,devonly,,,,2, 12, 2,-10,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_lead_vein,0,,biomeonly,devonly,,,,2, 12, 2,-10,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_nitrate_vein,0,,biomeonly,devonly,,,,2, 12, 2,-10,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_remnant_stone_01,0,,,,,,8, 11, 8,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_remnant_stone_02,0,,,,,,9, 11, 8,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_remnant_stone_03,0,,,,,,9, 14, 9,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_remnant_stone_04,0,,biomeonly,devonly,,,,9, 11, 9,,1,2,1.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_remnant_stone_05,0,,biomeonly,devonly,,,,9, 6, 9,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_remnant_wood_01,0,,biomeonly,devonly,,,,8, 10, 8,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_remnant_wood_02,0,,biomeonly,devonly,,,,6, 7, 7,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_rubble_stone_01,0,,biomeonly,devonly,,,,5, 2, 7,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_rubble_stone_02,0,,biomeonly,devonly,,,,7, 3, 7,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_rubble_stone_03,0,,biomeonly,devonly,,,,4, 3, 4,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_rubble_stone_04,1,,biomeonly,devonly,,,,7, 13, 7,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_rubble_stone_05,1,,biomeonly,devonly,,,,9, 3, 9,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_rubble_stone_06,0,,,,,,5, 3, 5,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_rubble_stone_07,0,,,,,,5, 3, 5,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_rubble_stone_08,0,,,,,,7, 3, 7,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_rubble_stone_09,0,,,,,,9, 3, 9,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_rubble_stone_10,0,,biomeonly,devonly,,,,4, 2, 4,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,deco_shale_vein,0,,biomeonly,devonly,,,,2, 12, 2,-10,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,departure_bridge_01,0,,navonly,hideui,,,,32, 18, 11,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,departure_bridge_02,0,,navonly,hideui,,,,16, 18, 11,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,departure_city_blk_01,0,,navonly,hideui,,,,103, 12, 103,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,departure_city_blk_plaza,0,,navonly,hideui,,,,103, 19, 103,-6,11,11,11.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,departure_city_sign,0,,navonly,hideui,,,,3, 14, 13,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,desert_arch,0,,biomeonly,devonly,,,,24, 9, 8,-1,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,desert_form01,0,,biomeonly,devonly,,,,26, 22, 29,-3,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,desert_form02,0,,biomeonly,devonly,,,,9, 9, 10,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,desert_town_blk_01,0,,hideui,,,,150, 13, 161,-3,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,desert_town_blk_02,0,,hideui,,,,150, 13, 100,-3,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,diersville_city_blk_01,0,,hideui,,,,135, 12, 115,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,diersville_city_blk_02,0,,hideui,,,,135, 12, 115,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,diersville_city_sign_01,0,,navonly,hideui,,,,3, 14, 13,,0,0,0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,diner_01,1,clear/infested,countrytown,nodiagonal,,,,42, 13, 42,-1,8,8,8.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,diner_02,1,clear/fetch/infested,countrytown,nodiagonal,,,,42, 16, 42,-1,7,7,7.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,diner_03,1,clear/fetch/infested,countrytown,nodiagonal,,,,42, 11, 42,-1,7,7,7.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,diner_04,1,clear/fetch/infested,countrytown,nodiagonal,,,,42, 15, 42,-1,8,8,8.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,diner_07,3,clear/fetch/infested,gateway,nodiagonal,,,,60, 12, 60,-1,21,23,22.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,docks_01,1,clear/infested,navonly,,,,27, 23, 27,,5,5,5.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,docks_02,2,clear/fetch/infested,navonly,,,,44, 31, 58,,16,16,16.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,docks_03,3,clear/fetch/infested,navonly,,,,53, 32, 54,-7,22,22,22.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,docks_04,0,,navonly,,,,12, 27, 25,,0,1,0.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,docks_05,1,clear/infested,navonly,,,,29, 27, 25,,5,5,5.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_building_01,3,clear/fetch/infested,downtown,,,,25, 28, 25,-2,21,22,21.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_building_02,4,clear/fetch/infested,downtown,,,,42, 28, 42,-3,35,46,40.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_building_03,4,clear/fetch/restore_power/infested,downtown,,,,60, 35, 60,-6,44,49,46.5
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_building_04,2,clear/fetch/infested,downtown,,,,42, 21, 42,-3,16,16,16.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_building_05,2,clear/fetch/infested,downtown,,,,42, 23, 42,-3,15,15,15.0
D:/SteamLibrary/steamapps/common/7 Days To Die/Data/Prefabs/POIs,downtown_business_06,2,clear/fetch/infested,downtown,,,,42, 19, 42,-1,13,14,13.5
